2014-12-11 03:59:52 status unpacked base-passwd:i386 3.5.33
2014-12-11 03:59:52 install bash:i386 <none> 4.3-6ubuntu1
2014-12-11 03:59:52 status half-installed bash:i386 4.3-6ubuntu1
2014-12-11 03:59:52 status unpacked bash:i386 4.3-6ubuntu1
2014-12-11 03:59:52 status unpacked bash:i386 4.3-6ubuntu1
2014-12-11 03:59:52 install bsdutils:i386 <none> 1:2.20.1-5.1ubuntu20
2014-12-11 03:59:52 status half-installed bsdutils:i386 1:2.20.1-5.1ubuntu20
2014-12-11 03:59:52 status unpacked bsdutils:i386 1:2.20.1-5.1ubuntu20
2014-12-11 03:59:52 status unpacked bsdutils:i386 1:2.20.1-5.1ubuntu20
2014-12-11 03:59:52 install busybox-initramfs:i386 <none> 1:1.21.0-1ubuntu1
2014-12-11 03:59:52 status half-installed busybox-initramfs:i386 1:1.21.0-1ubuntu1
2014-12-11 03:59:52 status unpacked busybox-initramfs:i386 1:1.21.0-1ubuntu1
2014-12-11 03:59:52 status unpacked busybox-initramfs:i386 1:1.21.0-1ubuntu1
2014-12-11 03:59:52 install coreutils:i386 <none> 8.21-1ubuntu5
2014-12-11 03:59:52 status half-installed coreutils:i386 8.21-1ubuntu5
2014-12-11 03:59:52 status unpacked coreutils:i386 8.21-1ubuntu5
2014-12-11 03:59:52 status unpacked coreutils:i386 8.21-1ubuntu5
2014-12-11 03:59:52 install cpio:i386 <none> 2.11+dfsg-1ubuntu1
2014-12-11 03:59:52 status half-installed cpio:i386 2.11+dfsg-1ubuntu1
2014-12-11 03:59:52 status unpacked cpio:i386 2.11+dfsg-1ubuntu1
2014-12-11 03:59:52 status unpacked cpio:i386 2.11+dfsg-1ubuntu1
2014-12-11 03:59:52 install dash:i386 <none> 0.5.7-4ubuntu1
2014-12-11 03:59:52 status half-installed dash:i386 0.5.7-4ubuntu1
2014-12-11 03:59:52 status unpacked dash:i386 0.5.7-4ubuntu1
2014-12-11 03:59:52 status unpacked dash:i386 0.5.7-4ubuntu1
2014-12-11 03:59:52 upgrade debconf:all 1.5.51ubuntu2 1.5.51ubuntu2
2014-12-11 03:59:52 status half-configured debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status unpacked debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status half-installed debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status half-installed debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status unpacked debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 status unpacked debconf:all 1.5.51ubuntu2
2014-12-11 03:59:52 install debianutils:i386 <none> 4.4
2014-12-11 03:59:52 status half-installed debianutils:i386 4.4
2014-12-11 03:59:52 status unpacked debianutils:i386 4.4
2014-12-11 03:59:52 status unpacked debianutils:i386 4.4
2014-12-11 03:59:52 install diffutils:i386 <none> 1:3.3-1
2014-12-11 03:59:52 status half-installed diffutils:i386 1:3.3-1
2014-12-11 03:59:52 status unpacked diffutils:i386 1:3.3-1
2014-12-11 03:59:52 status unpacked diffutils:i386 1:3.3-1
2014-12-11 03:59:52 upgrade dpkg:i386 1.17.5ubuntu5 1.17.5ubuntu5
2014-12-11 03:59:52 status half-configured dpkg:i386 1.17.5ubuntu5
2014-12-11 03:59:52 status unpacked dpkg:i386 1.17.5ubuntu5
2014-12-11 03:59:52 status half-installed dpkg:i386 1.17.5ubuntu5
2014-12-11 03:59:52 status half-installed dpkg:i386 1.17.5ubuntu5
2014-12-11 03:59:52 status unpacked dpkg:i386 1.17.5ubuntu5
